tCu,wCu,tLam,nLam,aln,tsu,freq,Pre_Q,Pre_R,Pre_L
20,250,350,8,20,4,75.25,3.283992,825.06696,5.730661
20,250,350,8,20,4,100.0,3.825631,863.608,5.2582297
20,250,250,12,20,2,1.0,2.9194481,10.24028,4.758092
20,250,250,12,20,2,25.75,9.357127,130.98215,7.575264
20,250,250,12,20,2,50.5,3.8286731,506.64468,6.113366
20,250,250,12,20,2,75.25,2.2039187,1164.9521,5.430217
20,250,250,12,20,2,100.0,2.0517082,1521.7522,4.9691205
20,250,100,16,20,4,1.0,3.0154579,8.34506,4.0050035
20,250,100,16,20,4,25.75,24.41228,27.374699,4.130482
20,250,100,16,20,4,50.5,17.13719,82.13054,4.4358096
20,250,100,16,20,4,75.25,9.889022,209.72989,4.386591
20,250,100,16,20,4,100.0,8.293901,341.88898,4.512985
20,250,100,12,15,6,1.0,3.659414,6.995171,4.0740848
20,250,100,12,15,6,25.75,21.238604,33.272163,4.367672
20,250,100,12,15,6,50.5,14.788171,95.29117,4.441155
20,250,100,12,15,6,75.25,9.311115,224.17648,4.4147415
20,250,100,12,15,6,100.0,8.732575,305.77917,4.2498174
10,250,350,8,20,4,1.0,3.3543108,10.899257,5.818625
10,250,350,8,20,4,25.75,10.530092,95.58881,6.2213154
10,250,350,8,20,4,50.5,6.5416446,293.3009,6.0468483
10,250,350,8,20,4,75.25,5.390993,545.79486,6.2231703
10,250,350,8,20,4,100.0,2.3046625,1347.7543,4.943541
15,200,100,12,15,4,1.0,2.7850842,9.841087,4.3621607
15,200,100,12,15,4,25.75,16.367577,50.03838,5.0620985
15,200,100,12,15,4,50.5,9.689657,150.37025,4.5919704
15,200,100,12,15,4,75.25,15.69223,126.2751,4.1909833
15,200,100,12,15,4,100.0,8.502667,331.71164,4.4888587
10,250,100,12,20,2,1.0,3.2052746,8.618255,4.3964763
10,250,100,12,20,2,25.75,20.539175,35.566784,4.5151324
10,250,100,12,20,2,50.5,14.80092,99.211296,4.627843
10,250,100,12,20,2,75.25,11.466844,171.20952,4.1522665
10,250,100,12,20,2,100.0,9.644607,272.1348,4.1772323
20,200,250,12,20,2,1.0,5.492273,8.415279,7.3559837
20,200,250,12,20,2,25.75,15.5333605,52.740746,5.0635467
20,200,250,12,20,2,50.5,4.2854457,444.83905,6.0079665
20,200,250,12,20,2,75.25,8.034865,258.04324,4.3851523
20,200,250,12,20,2,100.0,8.683343,295.9282,4.0897183
10,250,100,16,15,6,1.0,3.2120612,8.577692,4.385048
10,250,100,16,15,6,25.75,23.094473,30.721691,4.3852687
10,250,100,16,15,6,50.5,13.49487,107.521675,4.572919
10,250,100,16,15,6,75.25,10.861598,178.83087,4.108181
10,250,100,16,15,6,100.0,9.923679,276.06384,4.3601594
20,200,100,12,20,2,1.0,2.8912222,8.131999,3.7419584
20,200,100,12,20,2,25.75,12.852113,61.407486,4.8779674
20,200,100,12,20,2,50.5,12.091044,121.834305,4.642609
20,200,100,12,20,2,75.25,8.282717,266.1804,4.662967
20,200,100,12,20,2,100.0,9.173668,307.02982,4.4827394
15,200,350,16,20,4,1.0,4.8311667,10.33418,7.9459934
15,200,350,16,20,4,25.75,7.141912,182.30026,8.047203
15,200,350,16,20,4,50.5,2.0804784,1015.54297,6.658712
15,200,350,16,20,4,75.25,1.9611511,1432.6752,5.94254
15,200,350,16,20,4,100.0,1.975564,1763.1886,5.5438294
