tCu,wCu,tLam,nLam,aln,tsu,freq,Pre_Q,Pre_R,Pre_L
15,200,350,8,15,2,1.0,1.4090041,5537.3867,1241.7585
15,200,350,8,15,2,25.75,0.36500683,1.2188731e+06,2749.809
15,200,350,8,15,2,50.5,0.23090392,3.0182188e+06,2196.3977
15,200,350,8,15,2,75.25,0.13176599,7.8255885e+06,2180.8906
15,200,350,8,15,2,100.0,0.13827382,1.0589051e+07,2330.3276
20,250,350,8,20,4,1.0,1.730789,3692.084,1017.03503
20,250,350,8,20,4,25.75,0.4650024,949543.6,2729.0615
20,250,350,8,20,4,50.5,0.2543218,3.3945948e+06,2720.8225
20,250,350,8,20,4,75.25,0.20374577,6.131828e+06,2642.3606
20,250,350,8,20,4,100.0,0.1501787,1.0930186e+07,2612.4976
20,250,250,12,20,2,1.0,1.998933,4806.801,1529.2356
20,250,250,12,20,2,25.75,0.4765433,1.1127766e+06,3277.5815
20,250,250,12,20,2,50.5,0.2348835,3.2269165e+06,2388.7417
20,250,250,12,20,2,75.25,0.2664672,4.6260315e+06,2607.1504
20,250,250,12,20,2,100.0,0.12954958,9.257893e+06,1908.8341
20,250,100,16,20,4,1.0,1.0295112,4338.286,710.8359
20,250,100,16,20,4,25.75,1.1908695,271424.25,1997.8174
20,250,100,16,20,4,50.5,0.75227684,1.0073292e+06,2388.2395
20,250,100,16,20,4,75.25,0.48393747,2.051423e+06,2099.7034
20,250,100,16,20,4,100.0,0.4626937,2.5190378e+06,1855.0187
20,250,100,12,15,6,1.0,1.7162964,2387.7725,652.2368
20,250,100,12,15,6,25.75,1.1936119,255938.62,1888.1738
20,250,100,12,15,6,50.5,1.0174831,570687.3,1830.0121
20,250,100,12,15,6,75.25,0.59421194,1.2736992e+06,1600.7426
20,250,100,12,15,6,100.0,0.61547196,1.8158559e+06,1778.7284
10,250,350,8,20,4,1.0,0.49787903,14822.01,1174.4944
10,250,350,8,20,4,25.75,0.45046932,833476.56,2320.6074
10,250,350,8,20,4,50.5,0.24122328,3.3449698e+06,2542.9636
10,250,350,8,20,4,75.25,0.21089688,5.7469095e+06,2563.4094
10,250,350,8,20,4,100.0,0.15162587,1.0984608e+07,2650.8044
15,200,100,12,15,4,1.0,1.1499243,3861.8132,706.77435
15,200,100,12,15,4,25.75,1.0629271,317136.78,2083.4995
15,200,100,12,15,4,50.5,0.860705,690875.5,1874.0574
15,200,100,12,15,4,75.25,0.70031637,1.3631699e+06,2019.0994
15,200,100,12,15,4,100.0,0.50524366,2.2269982e+06,1790.773
10,250,100,12,20,2,1.0,0.641146,7892.507,805.3639
10,250,100,12,20,2,25.75,1.0639992,287372.56,1889.8601
10,250,100,12,20,2,50.5,0.9140627,550221.75,1585.0481
10,250,100,12,20,2,75.25,0.7497315,1.1215449e+06,1778.4264
10,250,100,12,20,2,100.0,0.8046252,1.0939502e+06,1400.9135
20,200,250,12,20,2,1.0,1.7126781,5692.604,1551.6964
20,200,250,12,20,2,25.75,0.4283917,1.243691e+06,3293.0369
20,200,250,12,20,2,50.5,0.25447777,3.44579e+06,2763.5508
20,200,250,12,20,2,75.25,0.21095501,5.8903235e+06,2628.102
20,200,250,12,20,2,100.0,0.11582046,1.4841721e+07,2735.8318
10,250,100,16,15,6,1.0,1.0404108,4232.079,700.7751
10,250,100,16,15,6,25.75,0.8782997,366758.88,1990.9778
10,250,100,16,15,6,50.5,0.49549407,992220.94,1549.4429
10,250,100,16,15,6,75.25,0.35484654,2.710576e+06,2034.303
10,250,100,16,15,6,100.0,0.28263542,4.953588e+06,2228.2632
20,200,100,12,20,2,1.0,0.59845334,9647.699,918.9127
20,200,100,12,20,2,25.75,1.3536038,210232.62,1758.8751
20,200,100,12,20,2,50.5,0.933379,523706.1,1540.5448
20,200,100,12,20,2,75.25,0.8598632,849660.1,1545.212
20,200,100,12,20,2,100.0,0.6763035,1.630908e+06,1755.4608
15,200,350,16,20,4,1.0,2.3393264,5932.392,2208.7205
15,200,350,16,20,4,25.75,0.13997833,5.856167e+06,5066.609
15,200,350,16,20,4,50.5,0.09179215,1.2798099e+07,3702.369
15,200,350,16,20,4,75.25,0.06567746,2.0568308e+07,2857.1194
15,200,350,16,20,4,100.0,0.07407279,2.3294502e+07,2746.2002
10,200,100,8,20,2,1.0,0.71639144,3386.48,386.11703
10,200,100,8,20,2,25.75,1.3868538,213207.55,1827.5808
