tCu,wCu,tLam,nLam,aln,tsu,freq,Pre_Q,Pre_R,Pre_L
20,250,350,8,20,4,75.25,4.0007687,647.18176,5.4762487
20,250,350,8,20,4,100.0,3.3441176,984.90454,5.241986
20,250,250,12,20,2,1.0,7.942552,5.273918,6.666741
20,250,250,12,20,2,25.75,8.588519,115.99828,6.15762
20,250,250,12,20,2,50.5,4.9204946,379.1061,5.8789277
20,250,250,12,20,2,75.25,3.6313941,725.7536,5.5741158
20,250,250,12,20,2,100.0,3.0452704,1082.8223,5.248114
20,250,100,16,20,4,1.0,5.4232397,5.1524396,4.447253
20,250,100,16,20,4,25.75,21.654333,32.82526,4.393352
20,250,100,16,20,4,50.5,13.317187,101.836655,4.274107
20,250,100,16,20,4,75.25,9.880688,203.22609,4.2469797
20,250,100,16,20,4,100.0,8.098197,329.37955,4.2452655
20,250,100,12,15,6,1.0,4.7400036,5.2071476,3.9282465
20,250,100,12,15,6,25.75,29.43614,21.192049,3.8556426
20,250,100,12,15,6,50.5,19.859581,59.987213,3.7545466
20,250,100,12,15,6,75.25,15.07177,117.245705,3.7374432
20,250,100,12,15,6,100.0,12.52291,188.86006,3.7641358
10,250,350,8,20,4,1.0,3.74688,11.085347,6.610575
10,250,350,8,20,4,25.75,8.996722,113.78651,6.3272953
10,250,350,8,20,4,50.5,5.3861623,344.51508,5.8481207
10,250,350,8,20,4,75.25,4.0941505,653.4914,5.6587076
10,250,350,8,20,4,100.0,3.4996853,978.0399,5.447608
15,200,100,12,15,4,1.0,2.7502415,9.2281065,4.039276
15,200,100,12,15,4,25.75,25.312714,26.565763,4.156272
15,200,100,12,15,4,50.5,18.292494,69.52532,4.008156
15,200,100,12,15,4,75.25,13.984999,134.01517,3.9639657
15,200,100,12,15,4,100.0,11.6577215,214.50587,3.9799073
10,250,100,12,20,2,1.0,2.1317317,11.233115,3.811122
10,250,100,12,20,2,25.75,22.687263,28.887709,4.0507774
10,250,100,12,20,2,50.5,18.788002,65.99207,3.9075198
10,250,100,12,20,2,75.25,14.603239,125.09857,3.8638048
10,250,100,12,20,2,100.0,12.180938,200.33894,3.8838828
20,200,250,12,20,2,1.0,6.778904,6.4681015,6.97841
20,200,250,12,20,2,25.75,8.250536,125.59766,6.404817
20,200,250,12,20,2,50.5,4.8158555,402.2557,6.1052628
20,200,250,12,20,2,75.25,3.5769565,763.3279,5.774819
20,200,250,12,20,2,100.0,3.004409,1129.6107,5.4014163
10,250,100,16,15,6,1.0,3.009447,10.605583,5.079739
10,250,100,16,15,6,25.75,17.389753,47.804543,5.1381373
10,250,100,16,15,6,50.5,10.998186,139.55609,4.837251
10,250,100,16,15,6,75.25,8.111561,277.34686,4.7581825
10,250,100,16,15,6,100.0,6.6769614,445.7293,4.736638
20,200,100,12,20,2,1.0,3.6638017,6.6492066,3.8772337
20,200,100,12,20,2,25.75,29.960896,21.351595,3.953922
20,200,100,12,20,2,50.5,20.48752,59.593487,3.8478386
20,200,100,12,20,2,75.25,15.208185,118.97587,3.826923
20,200,100,12,20,2,100.0,12.476675,194.21516,3.8565774
15,200,350,16,20,4,1.0,7.5142865,10.096502,12.074771
15,200,350,16,20,4,25.75,2.724621,548.3312,9.234046
15,200,350,16,20,4,50.5,1.8047054,1245.514,7.084085
15,200,350,16,20,4,75.25,1.5235628,1767.7609,5.696358
15,200,350,16,20,4,100.0,1.4557137,2130.881,4.9369097
10,200,100,8,20,2,1.0,1.4003323,14.379601,3.2047787
10,200,100,8,20,2,25.75,19.300842,28.709902,3.4249249
10,200,100,8,20,2,50.5,24.442162,43.113056,3.321064
10,200,100,8,20,2,75.25,23.839703,66.02339,3.3289874
10,200,100,8,20,2,100.0,22.03615,95.97661,3.3660545
15,200,150,12,15,2,1.0,3.4786415,9.159797,5.071257
15,200,150,12,15,2,25.75,15.272236,55.04083,5.1955404
15,200,150,12,15,2,50.5,9.489722,162.92981,4.872845
15,200,150,12,15,2,75.25,7.149047,318.07178,4.8093543
15,200,150,12,15,2,100.0,5.9950724,501.45007,4.784561
10,250,150,16,20,6,1.0,3.788241,10.152514,6.121126
10,250,150,16,20,6,25.75,10.939189,85.854935,5.804881
