"Freq [MHz]","im(Matrix1.Z(Winding,Winding))/re(Matrix1.Z(Winding,Winding)) []","re(Matrix1.Z(Winding,Winding)) [mOhm]","Matrix1.L(Winding,Winding) [nH]"
1,2.75276539255441,4.49563960151231,1.96961262598752
25.75,19.8335474729987,13.3249224605291,1.63345806229254
50.5,27.9468579626724,18.3431136254771,1.61560354515039
75.25,33.4138076962864,22.7341480882285,1.6066389107752
100,37.4958797020902,26.8289641085949,1.60105991080364
