Rpre,Lpre,Qpre,Rdata,Ldata,Qdata,f
62.61365,3.3039272,24.948696,61.20528,3.3005042,25.496328,75.25001
98.50049,3.2772114,20.904795,96.3942,3.290519,21.448317,100.0
8.963764,3.9694982,2.7824347,8.785935,3.96572,2.8360496,1.0
25.55382,3.9240296,24.844671,25.515093,3.8679018,24.526482,25.749998
59.35289,3.8901494,20.79676,59.308704,3.8466194,20.579365,50.499992
111.87705,3.8446558,16.248114,111.05449,3.8264244,16.290838,75.25001
180.84856,3.817346,13.262537,179.56624,3.803575,13.309055,100.0
5.3762183,2.9615586,3.4611719,5.285996,3.0670862,3.6456842,1.0
11.473528,2.9733236,41.92782,11.248509,3.021661,43.461815,25.749998
23.202545,3.0054848,41.100796,22.842802,3.0157197,41.89024,50.499992
40.926018,3.0110304,34.78582,40.673615,3.0109644,35.000904,75.25001
64.70558,3.0176032,29.302202,64.64732,3.005943,29.215277,100.0
13.772509,9.359589,4.269958,13.895294,9.60465,4.3430376,1.0
327.5121,8.719163,4.3072944,326.7672,8.658872,4.287261,25.749998
877.7036,7.4903555,2.7078586,884.0667,7.474727,2.6827583,50.499992
1423.7435,6.3271823,2.1011894,1438.725,6.4851403,2.1312191,75.25001
1874.825,5.588322,1.8728404,1924.186,5.7175817,1.8670042,100.0
6.7070947,3.911387,3.664175,6.6574345,3.9479377,3.7260036,1.0
22.876556,3.9075751,27.635899,22.820831,3.8492432,27.289843,25.749998
56.02472,3.8705711,21.921316,56.29133,3.8293612,21.5852,50.499992
108.37721,3.82406,16.682959,107.76929,3.809704,16.714088,75.25001
177.71024,3.7971516,13.425349,176.00227,3.787124,13.519823,100.0
5.3960776,4.7342896,5.512601,5.3794813,4.8454337,5.6594224,1.0
38.598183,4.726237,19.81096,39.4962,4.7740684,19.556467,25.749998
124.13891,4.67996,11.962043,126.22489,4.720384,11.865976,50.499992
258.10443,4.6377044,8.495604,257.59982,4.64595,8.527376,75.25001
424.588,4.5811176,6.7792826,423.1253,4.5574346,6.7675486,100.0
10.403476,3.3399355,2.017156,10.47044,3.338856,2.0036075,1.0
19.239393,3.2689419,27.489874,18.927704,3.2818,28.05249,25.749998
36.787415,3.2844074,28.328854,35.692245,3.272601,29.093126,50.499992
62.971516,3.2728803,24.573807,61.492958,3.2646809,25.10162,75.25001
97.48175,3.2653081,21.046553,96.07923,3.2559867,21.292809,100.0
6.684411,3.3382173,3.1378434,6.6219416,3.3858166,3.2126093,1.0
16.459743,3.3389943,32.82082,16.603397,3.2995772,32.152767,25.749998
34.472866,3.3209476,30.567219,33.964333,3.2866573,30.70454,50.499992
61.411827,3.2862844,25.30111,59.995285,3.2770247,25.825518,75.25001
96.77868,3.2645392,21.194454,94.51252,3.2673075,21.721035,100.0
6.9817915,3.7599292,3.383706,7.025667,3.787481,3.3872151,1.0
20.65237,3.7125816,29.084599,20.246574,3.7353575,29.84954,25.749998
50.083683,3.704623,23.470325,51.041077,3.7214482,23.134674,50.499992
96.96447,3.6820397,17.954046,99.27409,3.704953,17.645466,75.25001
159.60765,3.6722512,14.456353,163.59993,3.684729,14.151497,100.0
10.373983,3.8299503,2.3196766,10.465126,3.8272178,2.2978337,1.0
25.066345,3.7469883,24.18512,24.354033,3.7712586,25.053734,25.749998
56.088448,3.7415152,21.166315,55.895756,3.7559478,21.321215,50.499992
104.7062,3.7095618,16.75085,105.08604,3.7386234,16.82105,75.25001
169.31577,3.6876156,13.684481,170.57945,3.7177076,13.69394,100.0
7.058401,4.1218376,3.669141,7.0506477,4.146895,3.6955059,1.0
26.387197,4.073446,24.976166,26.024105,4.0905514,25.43098,25.749998
71.266304,4.032906,17.955818,72.50086,4.066152,17.795565,50.499992
141.87482,4.0117083,13.36936,144.2915,4.033731,13.217599,75.25001
231.85799,4.0109572,10.8694105,237.45822,3.9941676,10.568635,100.0
5.319302,3.1462536,3.7163696,5.289143,3.2477717,3.8581583,1.0
13.192922,3.1788635,38.984127,12.650221,3.2037125,40.974384,25.749998
29.012651,3.1888015,34.874767,28.31816,3.1966166,35.81762,50.499992
53.6193,3.1813133,28.05252,52.71917,3.189728,28.606941,75.25001
86.50211,3.1860197,23.142046,85.537964,3.181765,23.371628,100.0
13.129644,4.0392327,1.932973,13.085441,4.0295787,1.934867,1.0
30.939667,3.960178,20.70885,31.285473,3.924395,20.294912,25.749998
66.50417,3.925994,18.731478,66.495995,3.8995516,18.607607,50.499992
120.88071,3.870167,15.13768,119.8591,3.877451,15.29543,75.25001
191.82722,3.8305027,12.546585,190.22998,3.853184,12.726838,100.0
6.0628777,9.2523365,9.58854,6.038393,9.504619,9.889932,1.0
329.47537,8.352772,4.101707,331.053,8.437249,4.1234474,25.749998
866.38007,7.2829685,2.6672962,863.3168,7.2645454,2.6699893,50.499992
1386.3866,6.179998,2.1076107,1406.5084,6.319313,2.1242905,75.25001
