"Freq [MHz]","im(Matrix1.Z(Winding,Winding))/re(Matrix1.Z(Winding,Winding)) []","re(Matrix1.Z(Winding,Winding)) [ohm]","Matrix1.L(Winding,Winding) [nH]"
1,9.12932789424242,0.00802073889030585,11.6539544361414
25.75,2.78626670794209,0.55161709450638,9.49955585069524
50.5,1.83827414575944,1.25848689952803,7.29101063473232
75.25,1.5700941942963,1.78058439901104,5.91291858153403
100,1.48286398288942,2.14825171064543,5.06998430279728
