tCu,wCu,tLam,nLam,aln,tsu,freq,Pre_Q,Pre_R,Pre_L
20,300,250,8,20,6,1.0,5.497992,5.032864,4.4039207
20,300,250,8,20,6,25.75,19.329844,38.130474,4.5555787
20,300,250,8,20,6,50.5,10.754593,142.0721,4.815389
20,300,250,8,20,6,75.25,7.239273,297.4964,4.5550184
20,300,250,8,20,6,100.0,5.842112,491.8588,4.573306
10,350,350,16,15,6,1.0,4.730805,8.902739,6.703147
10,350,350,16,15,6,25.75,13.150345,60.15286,4.8891854
10,350,350,16,15,6,50.5,5.0507145,313.4598,4.9895735
10,350,350,16,15,6,75.25,8.6963825,240.67572,4.4267435
10,350,350,16,15,6,100.0,1.6004899,2027.1943,5.1637893
20,350,350,8,15,6,1.0,2.683707,4.991375,2.1319423
20,350,350,8,15,6,25.75,23.637854,13.913708,2.0327964
20,350,350,8,15,6,50.5,26.666758,18.12377,1.5231669
20,350,350,8,15,6,75.25,33.628334,21.466284,1.5267774
20,350,350,8,15,6,100.0,40.42797,24.946125,1.6051106
10,350,150,12,15,6,1.0,2.9607527,8.693348,4.096466
10,350,150,12,15,6,25.75,24.04296,19.005512,2.8242986
10,350,150,12,15,6,50.5,29.720871,21.558245,2.0193136
10,350,150,12,15,6,75.25,8.835602,236.35016,4.4167767
10,350,150,12,15,6,100.0,28.338467,40.94803,1.8468409
10,400,350,16,15,6,1.0,2.2882497,8.786233,3.1998253
10,400,350,16,15,6,25.75,10.936539,107.311516,7.253864
10,400,350,16,15,6,50.5,13.499756,44.823586,1.9070455
10,400,350,16,15,6,75.25,13.451948,87.62137,2.492922
10,400,350,16,15,6,100.0,15.623073,104.58469,2.6004863
20,400,100,12,20,2,1.0,2.3541825,5.2169914,1.9547011
20,400,100,12,20,2,25.75,43.24757,6.0932136,1.6287374
20,400,100,12,20,2,50.5,39.167618,13.856981,1.7105055
20,400,100,12,20,2,75.25,34.642117,21.827318,1.5992571
20,400,100,12,20,2,100.0,80.76717,11.853687,1.5237311
10,400,150,16,20,2,1.0,1.4921132,8.450101,2.0067065
10,400,150,16,20,2,25.75,11.10259,23.865715,1.6377277
10,400,150,16,20,2,50.5,18.610445,26.521664,1.5555583
10,400,150,16,20,2,75.25,24.52498,31.49836,1.6338416
10,400,150,16,20,2,100.0,29.579855,35.90602,1.6903756
20,250,50,12,20,6,1.0,3.253811,5.515638,2.8563287
20,250,50,12,20,6,25.75,48.188156,9.422845,2.8065026
20,250,50,12,20,6,50.5,57.680447,15.42134,2.803364
20,250,50,12,20,6,75.25,51.479874,24.934813,2.71492
20,250,50,12,20,6,100.0,44.289913,38.33828,2.7024486
15,250,50,12,20,4,1.0,2.5314934,7.015681,2.8266158
15,250,50,12,20,4,25.75,42.473076,10.868146,2.8530688
15,250,50,12,20,4,50.5,53.63491,16.830402,2.844924
15,250,50,12,20,4,75.25,45.05976,29.763573,2.8365304
15,250,50,12,20,4,100.0,39.175648,45.185555,2.8173175
20,200,50,8,20,2,1.0,2.753389,6.105871,2.6756868
20,200,50,8,20,2,25.75,43.17815,9.557162,2.5505624
20,200,50,8,20,2,50.5,55.53765,14.285309,2.500379
20,200,50,8,20,2,75.25,56.00589,23.033241,2.7283642
20,200,50,8,20,2,100.0,56.750248,28.420258,2.5669405
10,200,200,8,15,6,1.0,2.39385,13.16406,5.015415
10,200,200,8,15,6,25.75,14.557735,52.17113,4.69426
10,200,200,8,15,6,50.5,11.044612,133.10352,4.6330695
10,200,200,8,15,6,75.25,8.635627,251.32605,4.5903397
10,200,200,8,15,6,100.0,6.5592856,436.97287,4.561745
15,250,200,16,15,6,1.0,7.2029757,7.0900226,8.127926
15,250,200,16,15,6,25.75,6.7801037,175.81497,7.367757
15,250,200,16,15,6,50.5,3.4561465,620.0236,6.7535024
15,250,200,16,15,6,75.25,2.880887,997.1651,6.075846
15,250,200,16,15,6,100.0,2.4518957,1460.4119,5.698981
20,250,200,8,15,4,1.0,5.6551013,5.2454715,4.7211194
20,250,200,8,15,4,25.75,21.004633,34.050148,4.420558
20,250,200,8,15,4,50.5,13.067846,111.51037,4.592488
20,250,200,8,15,4,75.25,9.202176,233.08455,4.536464
20,250,200,8,15,4,100.0,7.4803705,368.23395,4.383964
20,250,300,8,15,2,1.0,7.384884,5.2999234,6.229216
20,250,300,8,15,2,25.75,11.500065,81.770836,5.8122177
20,250,300,8,15,2,50.5,6.3913417,277.39832,5.58759
20,250,300,8,15,2,75.25,4.865419,494.76358,5.091333
20,250,300,8,15,2,100.0,4.154626,766.8034,5.0703273
20,200,300,12,15,6,1.0,7.462356,7.1157427,8.451161
20,200,300,12,15,6,25.75,5.746204,216.36069,7.6842656
20,200,300,12,15,6,50.5,3.099494,715.69946,6.9911776
20,200,300,12,15,6,75.25,2.6349018,1127.8711,6.2854643
20,200,300,12,15,6,100.0,2.3180237,1542.2405,5.6897073
10,200,300,8,20,6,1.0,2.8435538,13.262347,6.0020833
10,200,300,8,20,6,25.75,10.6382065,90.900764,5.9769406
10,200,300,8,20,6,50.5,6.6070347,277.14236,5.7708297
10,200,300,8,20,6,75.25,4.948556,534.59827,5.5952497
10,200,300,8,20,6,100.0,4.1434164,846.33545,5.581119
20,200,400,8,20,2,1.0,6.9185057,6.9511623,7.6540246
20,200,400,8,20,2,25.75,7.118826,166.79372,7.338903
20,200,400,8,20,2,50.5,4.2055364,505.77646,6.7036104
20,200,400,8,20,2,75.25,3.022288,948.0275,6.059966
20,200,400,8,20,2,100.0,2.7413146,1329.6478,5.8011665
15,200,400,16,20,4,1.0,8.108653,9.929744,12.814653
15,200,400,16,20,4,25.75,2.626685,623.67676,10.125365
15,200,400,16,20,4,50.5,1.4536759,1525.7358,6.989977
15,200,400,16,20,4,75.25,1.4010129,1968.9395,5.834288
15,200,400,16,20,4,100.0,1.2317871,2385.7957,4.677231
20,200,400,16,15,2,1.0,10.27047,8.574194,14.015344
20,200,400,16,15,2,25.75,2.243341,715.30164,9.918079
20,200,400,16,15,2,50.5,1.6511815,1416.6614,7.3720703
20,200,400,16,15,2,75.25,1.418071,1923.7777,5.769873
20,200,400,16,15,2,100.0,1.4838462,2170.7903,5.1265697
20,250,450,16,20,6,1.0,10.6883135,7.557359,12.855805
20,250,450,16,20,6,25.75,2.034223,746.0825,9.380554
20,250,450,16,20,6,50.5,1.5071129,1418.6793,6.73843
20,250,450,16,20,6,75.25,1.2964383,1921.9513,5.2699656
20,250,450,16,20,6,100.0,1.2934211,2195.556,4.519647
20,200,450,12,15,6,1.0,9.919403,7.2464085,11.440066
20,200,450,12,15,6,25.75,2.9659595,515.4078,9.448423
20,200,450,12,15,6,50.5,1.8510194,1231.7737,7.1857257
20,200,450,12,15,6,75.25,1.6310086,1745.2456,6.0204134
20,200,450,12,15,6,100.0,1.4199541,2243.6814,5.070553
15,250,450,16,15,6,1.0,10.601586,8.833581,14.904857
15,250,450,16,15,6,25.75,2.4659917,673.1891,10.260577
15,250,450,16,15,6,50.5,1.6200464,1431.3867,7.308246
15,250,450,16,15,6,75.25,1.4862581,1868.5659,5.873759
15,250,450,16,15,6,100.0,1.5942181,2004.3738,5.0856495
20,250,500,12,20,4,1.0,10.786321,6.965374,11.957435
20,250,500,12,20,4,25.75,2.6802473,589.99335,9.773837
20,250,500,12,20,4,50.5,1.5282246,1392.2966,6.7057557
20,250,500,12,20,4,75.25,1.338915,1932.7747,5.473282
20,250,500,12,20,4,100.0,1.5071869,2120.4402,5.0864305
15,250,500,12,20,6,1.0,9.623664,7.990294,12.238362
15,250,500,12,20,6,25.75,2.6767795,586.34064,9.700757
15,250,500,12,20,6,50.5,1.6530555,1341.5968,6.989372
15,250,500,12,20,6,75.25,1.5585616,1723.6566,5.681829
15,250,500,12,20,6,100.0,1.3440708,2254.6238,4.822987
15,250,500,8,15,6,1.0,7.62459,7.4609017,9.053738
15,250,500,8,15,6,25.75,5.2888875,263.47134,8.612731
15,250,500,8,15,6,50.5,3.0179377,752.4291,7.1565623
15,250,500,8,15,6,75.25,2.26406,1311.6703,6.28096
15,250,500,8,15,6,100.0,2.1088119,1793.1074,6.018164
10,200,350,4,15,2,1.0,1.9639528,14.209149,4.4413934
10,200,350,4,15,2,25.75,15.069143,46.521805,4.3329954
10,200,350,4,15,2,50.5,13.553757,102.62897,4.3838763
10,200,350,4,15,2,75.25,9.99459,206.34436,4.3618536
10,200,350,4,15,2,100.0,9.652838,291.68597,4.4811606
20,200,250,4,15,4,1.0,3.1773005,7.137406,3.6092658
20,200,250,4,15,4,25.75,25.095394,22.078125,3.4245164
20,200,250,4,15,4,50.5,25.356947,42.79489,3.419932
20,200,250,4,15,4,75.25,21.457453,74.63024,3.3869314
20,200,250,4,15,4,100.0,16.333902,132.78966,3.4520273
15,200,100,4,20,2,1.0,2.0462735,8.099452,2.6377852
15,200,100,4,20,2,25.75,31.787148,12.585503,2.4726644
15,200,100,4,20,2,50.5,44.445004,17.357086,2.4312441
15,200,100,4,20,2,75.25,46.579,23.486334,2.3137636
15,200,100,4,20,2,100.0,49.35371,31.206299,2.451219
20,200,100,20,20,2,1.0,4.9259586,7.031792,5.5128603
20,200,100,20,20,2,25.75,15.501854,56.178276,5.3826375
20,200,100,20,20,2,50.5,9.005757,185.32344,5.259923
20,200,100,20,20,2,75.25,6.383073,377.62308,5.0980225
20,200,100,20,20,2,100.0,5.248295,608.3846,5.0817842
20,200,150,20,15,2,1.0,6.7318873,6.8814588,7.3728867
20,200,150,20,15,2,25.75,7.201848,165.21188,7.3540773
20,200,150,20,15,2,50.5,4.0228157,521.5623,6.6124897
