"Freq [MHz]","im(Matrix1.Z(Winding,Winding))/re(Matrix1.Z(Winding,Winding)) []","re(Matrix1.Z(Winding,Winding)) [ohm]","Matrix1.L(Winding,Winding) [nH]"
1,7.65802250139469,0.00715611156178773,8.72195561382553
25.75,4.93493127154067,0.26471399766717,8.07422623007033
50.5,2.95891760727651,0.76320224713151,7.11707047089347
75.25,2.30301298162975,1.28319177595881,6.25031033240756
100,1.99204638743134,1.75123571851243,5.5521882867551
