"Freq [MHz]","im(Matrix1.Z(Winding,Winding))/re(Matrix1.Z(Winding,Winding)) []","re(Matrix1.Z(Winding,Winding)) [mOhm]","Matrix1.L(Winding,Winding) [nH]"
1,1.59126855489171,13.0662792510623,3.30914309942304
25.75,22.0052070142608,23.6041785766648,3.21038596744297
50.5,26.3485322400093,38.4617730435884,3.19384975317895
75.25,25.2860096187613,59.5395213944273,3.18419213611315
100,22.9302600428438,87.0298478859366,3.17612316993635
