Freq [MHz],"Matrix1.Z(Winding,Winding) [mOhm]","Matrix1.L(Winding,Winding) [nH]",R_11_ohm,X_11_ohm,R_11_mOhm,X_11_mOhm,Q_1
1.0,7.82646208316769 + 21.3892448468496i,3.40420404637896,0.00782646208316769,0.0213892448468496,7.826462083167691,21.3892448468496,2.732939177313754
25.75,38.2827192284623 + 463.269581152561i,2.86336480872008,0.0382827192284623,0.463269581152561,38.2827192284623,463.269581152561,12.101271552521562
50.5,65.9638166341499 + 888.881089068977i,2.80138255735119,0.0659638166341499,0.888881089068977,65.9638166341499,888.881089068977,13.47528288120305
75.25,99.3362319061382 + 1308.41003079997i,2.76730796003765,0.0993362319061382,1.30841003079997,99.33623190613821,1308.41003079997,13.17152871307091
100.0,138.879789233099 + 1722.29569857814i,2.7411187389462,0.138879789233099,1.7222956985781401,138.879789233099,1722.2956985781402,12.401341534925574
