Freq [MHz],"Matrix1.Z(Winding,Winding) [mOhm]","Matrix1.L(Winding,Winding) [nH]",R_11_ohm,X_11_ohm,R_11_mOhm,X_11_mOhm,Q_1
1.0,21.1351128871907 + 22.9154822675191i,3.64711227621035,0.0211351128871907,0.022915482267519098,21.1351128871907,22.9154822675191,1.0842375145962633
25.75,60.2181299999602 + 515.931343259957i,3.18885528449956,0.0602181299999602,0.5159313432599569,60.2181299999602,515.931343259957,8.567707819228161
50.5,94.7500563160666 + 983.35604940892i,3.09912823926233,0.0947500563160666,0.98335604940892,94.7500563160666,983.35604940892,10.378421793530627
75.25,133.224714235943 + 1443.3752906562i,3.05276162451343,0.133224714235943,1.4433752906561998,133.224714235943,1443.3752906562,10.834140639250764
100.0,177.076514624996 + 1897.65837588028i,3.02021710821084,0.17707651462499602,1.8976583758802799,177.076514624996,1897.65837588028,10.716601125220066
