Freq [MHz],"Matrix1.Z(Winding,Winding) [mOhm]","Matrix1.L(Winding,Winding) [nH]",R_11_ohm,X_11_ohm,R_11_mOhm,X_11_mOhm,Q_1
1.0,26.0471789390213 + 22.3159108853757i,3.55168752700577,0.026047178939021302,0.0223159108853757,26.047178939021304,22.3159108853757,0.8567496287263653
25.75,51.5741946375285 + 537.732690871755i,3.3236044976445,0.0515741946375285,0.537732690871755,51.5741946375285,537.732690871755,10.426390458465216
50.5,77.0071931469948 + 1036.02998385923i,3.26513451727945,0.07700719314699479,1.03602998385923,77.0071931469948,1036.02998385923,13.453678046434044
75.25,106.839322231152 + 1529.58975891989i,3.23510659182513,0.106839322231152,1.5295897589198901,106.839322231152,1529.58975891989,14.31673027287228
100.0,142.150901435014 + 2019.49409854048i,3.21412468327629,0.142150901435014,2.01949409854048,142.150901435014,2019.49409854048,14.206692171162322
