Freq [MHz],"Matrix1.Z(Winding,Winding) [mOhm]","Matrix1.L(Winding,Winding) [nH]",R_11_ohm,X_11_ohm,R_11_mOhm,X_11_mOhm,Q_1
1.0,11.3959761178784 + 23.6701833844094i,3.76722668952041,0.0113959761178784,0.023670183384409398,11.3959761178784,23.6701833844094,2.0770650218610758
25.75,53.0266956496316 + 502.612388493298i,3.10653382865757,0.0530266956496316,0.502612388493298,53.0266956496316,502.61238849329806,9.478478384062575
50.5,94.0750022798083 + 958.125278156136i,3.01961136870982,0.0940750022798083,0.958125278156136,94.0750022798083,958.125278156136,10.184695773978017
75.25,144.24737927671 + 1403.76500177248i,2.96898523550157,0.14424737927671,1.40376500177248,144.24737927671,1403.76500177248,9.731649953096445
100.0,203.584727255274 + 1840.01519249595i,2.92847513249916,0.20358472725527402,1.84001519249595,203.584727255274,1840.01519249595,9.038080691528313
