Freq [MHz],"Matrix1.Z(Winding,Winding) [mOhm]","Matrix1.L(Winding,Winding) [nH]",R_11_ohm,X_11_ohm,R_11_mOhm,X_11_mOhm,Q_1
1.0,26.0362054077032 + 21.2818256889133i,3.38710775641063,0.0260362054077032,0.021281825688913302,26.0362054077032,21.2818256889133,0.8173935239663133
25.75,53.6131330249822 + 510.461108319969i,3.15504499593361,0.0536131330249822,0.510461108319969,53.6131330249822,510.46110831996907,9.521195265385977
50.5,80.7481147834965 + 980.53486480398i,3.09023704173261,0.0807481147834965,0.98053486480398,80.7481147834965,980.53486480398,12.143130120536068
75.25,112.236609269289 + 1445.41941976333i,3.05708498998475,0.11223660926928901,1.44541941976333,112.236609269289,1445.41941976333,12.87832400830409
100.0,149.238193861878 + 1906.24199347543i,3.03387835990963,0.149238193861878,1.90624199347543,149.23819386187802,1906.24199347543,12.773151055685403
