Freq [MHz],"Matrix1.Z(Winding,Winding) [mOhm]","Matrix1.L(Winding,Winding) [nH]",R_11_ohm,X_11_ohm,R_11_mOhm,X_11_mOhm,Q_1
1.0,8.73622378725922 + 15.3753784185683i,2.44706747722359,0.008736223787259221,0.0153753784185683,8.73622378725922,15.3753784185683,1.7599570241082336
25.75,16.3847281361032 + 378.948964683538i,2.34219809355112,0.0163847281361032,0.378948964683538,16.3847281361032,378.948964683538,23.128181409890875
50.5,21.6824699338728 + 737.649124623478i,2.32476246438091,0.021682469933872798,0.737649124623478,21.6824699338728,737.649124623478,34.02053026583966
75.25,26.7901047041501 + 1095.37602294078i,2.31673765575238,0.0267901047041501,1.09537602294078,26.790104704150103,1095.37602294078,40.887336389211406
100.0,32.1451130399843 + 1452.56823966533i,2.3118341552103,0.032145113039984304,1.45256823966533,32.1451130399843,1452.56823966533,45.18784046142646
