Freq [MHz],"Matrix1.Z(Winding,Winding) [mOhm]","Matrix1.L(Winding,Winding) [nH]",R_11_ohm,X_11_ohm,R_11_mOhm,X_11_mOhm,Q_1
1.0,7.11788641208347 + 14.3779567936197i,2.28832289526627,0.00711788641208347,0.014377956793619702,7.11788641208347,14.377956793619703,2.019975588429086
25.75,17.6028252489406 + 342.837500605491i,2.11900127761687,0.0176028252489406,0.342837500605491,17.6028252489406,342.837500605491,19.476277004233975
50.5,24.2895098788405 + 664.812510853882i,2.09521182835108,0.0242895098788405,0.664812510853882,24.2895098788405,664.812510853882,27.370355110912513
75.25,30.4538757046354 + 985.504326479334i,2.08435727571608,0.0304538757046354,0.9855043264793341,30.4538757046354,985.504326479334,32.360555222510804
100.0,36.7116506242162 + 1305.49654494493i,2.07776228317377,0.0367116506242162,1.30549654494493,36.7116506242162,1305.49654494493,35.56082395499215
