Freq [MHz],"Matrix1.Z(Winding,Winding) [mOhm]","Matrix1.L(Winding,Winding) [nH]",R_11_ohm,X_11_ohm,R_11_mOhm,X_11_mOhm,Q_1
1.0,7.97173464490758 + 22.304849946538i,3.54992712391452,0.00797173464490758,0.022304849946538,7.971734644907579,22.304849946538,2.7979920230770037
25.75,43.7845107118295 + 475.145457380669i,2.93676692154536,0.0437845107118295,0.475145457380669,43.7845107118295,475.145457380669,10.85190743612207
50.5,79.7200407325368 + 908.241849435302i,2.86239960119907,0.0797200407325368,0.9082418494353021,79.7200407325368,908.241849435302,11.39289244071615
75.25,123.979566007085 + 1331.67767594071i,2.81651939841981,0.123979566007085,1.33167767594071,123.979566007085,1331.67767594071,10.741106126025715
100.0,175.755186132208 + 1745.54685918307i,2.77812411037518,0.175755186132208,1.74554685918307,175.755186132208,1745.54685918307,9.93169474879689
