Freq [MHz],"Matrix1.Z(Winding,Winding) [mOhm]","Matrix1.L(Winding,Winding) [nH]",R_11_ohm,X_11_ohm,R_11_mOhm,X_11_mOhm,Q_1
1.0,10.4840527939667 + 14.260515940785i,2.26963160301671,0.0104840527939667,0.014260515940785,10.4840527939667,14.260515940785,1.3602102374943739
25.75,19.2645174069837 + 347.839972162844i,2.14992042620054,0.0192645174069837,0.347839972162844,19.2645174069837,347.839972162844,18.05599199888321
50.5,25.3810656393766 + 675.514030323256i,2.12893855552227,0.0253810656393766,0.675514030323256,25.3810656393766,675.514030323256,26.614880553921754
75.25,31.0233490182323 + 1001.93291919781i,2.11910400979169,0.0310233490182323,1.00193291919781,31.0233490182323,1001.93291919781,32.29609152154972
100.0,36.705113226122 + 1327.6879095872i,2.11308093694148,0.036705113226122,1.3276879095872,36.705113226122,1327.6879095872,36.17174265089371
