Freq [MHz],"Matrix1.Z(Winding,Winding) [mOhm]","Matrix1.L(Winding,Winding) [nH]",R_11_ohm,X_11_ohm,R_11_mOhm,X_11_mOhm,Q_1
1.0,7.05114012103543 + 14.2861933522812i,2.27371828998213,0.00705114012103543,0.014286193352281202,7.05114012103543,14.286193352281202,2.0260827479036587
25.75,14.8029454457915 + 348.441805792359i,2.15364022414447,0.0148029454457915,0.348441805792359,14.8029454457915,348.441805792359,23.53868066786813
50.5,19.7758627260181 + 677.63170989838i,2.13561259853743,0.0197758627260181,0.6776317098983801,19.7758627260181,677.6317098983801,34.265595351592644
75.25,24.228712076075 + 1005.81512398959i,2.12731493447882,0.024228712076075,1.00581512398959,24.228712076075,1005.81512398959,41.513354933248685
100.0,28.6148609904021 + 1333.4670008147i,2.12227864629584,0.0286148609904021,1.3334670008147,28.6148609904021,1333.4670008147,46.600505984004855
