Freq [MHz],"Matrix1.Z(Winding,Winding) [mOhm]","Matrix1.L(Winding,Winding) [nH]",R_11_ohm,X_11_ohm,R_11_mOhm,X_11_mOhm,Q_1
1.0,7.39092278912427 + 17.2977928986023i,2.75302924439244,0.00739092278912427,0.0172977928986023,7.39092278912427,17.2977928986023,2.3404104456423185
25.75,26.3777850627007 + 391.427030561267i,2.41932220480031,0.0263777850627007,0.391427030561267,26.3777850627007,391.427030561267,14.83926833245606
50.5,40.0157485559037 + 754.900524311016i,2.37913168290617,0.0400157485559037,0.7549005243110161,40.0157485559037,754.900524311016,18.865085661371246
75.25,54.4824411820722 + 1115.92816548773i,2.36020576309426,0.054482441182072204,1.11592816548773,54.4824411820722,1115.92816548773,20.48234516068148
100.0,70.7178243877647 + 1475.29682473148i,2.34800782183793,0.0707178243877647,1.47529682473148,70.7178243877647,1475.29682473148,20.861739420065216
