Freq [MHz],"Matrix1.Z(Winding,Winding) [mOhm]","Matrix1.L(Winding,Winding) [nH]",R_11_ohm,X_11_ohm,R_11_mOhm,X_11_mOhm,Q_1
1.0,13.1992457503988 + 21.0140849626193i,3.34449549635393,0.0131992457503988,0.0210140849626193,13.1992457503988,21.0140849626193,1.5920671044392352
25.75,33.828421818612 + 500.155171733102i,3.09134632599219,0.033828421818612,0.500155171733102,33.828421818612,500.15517173310195,14.7850577959248
50.5,52.8498389145975 + 967.132722907582i,3.04799907874586,0.0528498389145975,0.967132722907582,52.8498389145975,967.132722907582,18.29963426133458
75.25,75.4387467774317 + 1430.86161172807i,3.02629499517553,0.0754387467774317,1.4308616117280701,75.4387467774317,1430.86161172807,18.967197532450626
100.0,102.462241562789 + 1892.03871933123i,3.01127314702824,0.102462241562789,1.89203871933123,102.462241562789,1892.03871933123,18.465716643255224
